index,time,close,supply_bottom_pips_60m,demand_top_pips_60m,demand_bottom_pips_60m,trendline_upper_pips_60m,trendline_lower_pips_60m,channel_width_pips_60m,ghost_high_pips_60m,ghost_low_pips_60m,ob_top_pips,ob_bottom_pips,fvg_top_pips,fvg_bottom_pips,bos_choch_pips,eq_level_pips,vwap_pips,poc_pips,vah_pips,val_pips,atr_1m,target_3m,target_5m,target_10m,target_15m
0,2026-07-01T00:00:00-05:00,30445.25,,,,,,,,,,,,,2.50,,,,,,0.00,-2.75,6.25,0.25,-2.00
1,2026-07-01T00:01:00-05:00,30438.5,,,,,,,,,,,,,1.50,,,,,,0.00,7.75,14.50,3.75,10.75
2,2026-07-01T00:02:00-05:00,30436.75,,,,,,,,,,,,,3.25,,,,,,0.00,14.75,22.75,5.25,12.50
3,2026-07-01T00:03:00-05:00,30442.5,,,,,,,,,,,,,0.25,,,,,,0.00,10.50,17.50,1.75,1.75
4,2026-07-01T00:04:00-05:00,30446.25,,,,,,,,,,,,,3.50,,,,,,0.00,13.25,3.50,0.25,2.00
5,2026-07-01T00:05:00-05:00,30451.5,,,,,,,,,,,,,8.75,,,,,,0.00,8.50,-6.00,-8.25,-11.75
6,2026-07-01T00:06:00-05:00,30453,,,,,,,,,,,,,10.25,,,,,,0.00,-3.25,-10.75,-3.75,-17.00
7,2026-07-01T00:07:00-05:00,30459.5,,,,,,,,,,,,,16.75,,,,,,0.00,-14.00,-17.50,-10.25,-25.00
8,2026-07-01T00:08:00-05:00,30460,,,,,,,,,,,,,17.25,,,,,,0.00,-17.75,-15.75,-15.75,-24.25
9,2026-07-01T00:09:00-05:00,30449.75,,,,,,,,,,,,,7.00,,,,,,0.00,-7.75,-3.25,-1.50,-9.50
10,2026-07-01T00:10:00-05:00,30445.5,,,,,,,,,,,,,2.75,,,,,,0.00,-1.25,-2.25,-5.75,-8.25
11,2026-07-01T00:11:00-05:00,30442.25,,,,,,,,,,,,,0.50,,,,,,0.00,4.25,7.00,-6.25,-9.00
12,2026-07-01T00:12:00-05:00,30442,,,,,,,,,,,,,0.75,,,,,,0.00,1.25,7.25,-7.50,-5.25
13,2026-07-01T00:13:00-05:00,30444.25,,,,,,,,,,,,,1.50,,,,,,0.00,5.00,0.00,-8.50,-5.00
14,2026-07-01T00:14:00-05:00,30446.5,,,,,,,,,,,,,3.75,,,,,,0.00,2.75,1.75,-6.25,-9.75
15,2026-07-01T00:15:00-05:00,30443.25,,,,,,,,,,,,,0.50,,,,,,0.00,1.00,-3.50,-6.00,-7.25
16,2026-07-01T00:16:00-05:00,30449.25,,,,,,,,,,,,,6.50,,,,,,0.00,-1.00,-13.25,-16.00,-14.00
17,2026-07-01T00:17:00-05:00,30449.25,,,,,,,,,,,,,6.50,,,,,,0.00,-9.50,-14.75,-12.50,-7.25
18,2026-07-01T00:18:00-05:00,30444.25,,,,,,,,,,,,,1.50,,,,,,0.00,-8.25,-8.50,-5.00,-1.75
19,2026-07-01T00:19:00-05:00,30448.25,,,,,,,,,,,,,5.50,,,,,,0.00,-13.75,-8.00,-11.50,-14.25
20,2026-07-01T00:20:00-05:00,30439.75,3.50,,,,,,,,,,,,0.25,,,,,,0.00,-4.00,-2.50,-3.75,-6.75
21,2026-07-01T00:21:00-05:00,30436,7.25,,,,,,,,,,,,4.00,,,,,,0.00,4.25,-2.75,-0.75,-4.00
22,2026-07-01T00:22:00-05:00,30434.5,8.75,,,,,,,,,,,,5.25,,,,,,0.00,2.75,2.25,7.50,-6.75
23,2026-07-01T00:23:00-05:00,30435.75,7.50,,,,,,,,,,,,4.25,,,,,,0.00,-2.50,3.50,6.75,-6.00
24,2026-07-01T00:24:00-05:00,30440.25,3.00,,,,,,,,,,,,0.25,,,,,,0.00,-3.50,-3.50,-6.25,-5.00
25,2026-07-01T00:25:00-05:00,30437.25,6.00,,,,,,,,,,,,2.75,,,,,,0.00,2.00,-1.25,-4.25,10.25
26,2026-07-01T00:26:00-05:00,30433.25,10.00,,,,,,,,,,,,4.00,,,,,,0.00,3.50,2.00,-1.25,16.00
27,2026-07-01T00:27:00-05:00,30436.75,6.50,,,,,,,,,,,,3.25,,,,,,0.00,-0.75,5.25,-9.00,10.00
28,2026-07-01T00:28:00-05:00,30439.25,4.00,,,,,,,,,,,,0.75,,,,,,0.00,-4.00,3.25,-9.50,2.50
29,2026-07-01T00:29:00-05:00,30436.75,6.50,,,,,,,,,,,,3.25,,,,,,0.00,5.25,-2.75,-1.50,-0.25
30,2026-07-01T00:30:00-05:00,30436,7.25,,,,,,,,,,,,4.00,,,,,,0.00,6.50,-3.00,11.50,-2.50
31,2026-07-01T00:31:00-05:00,30435.25,8.00,,,,,,,,,,,,4.75,,,,,,0.00,-1.25,-3.25,14.00,6.25
32,2026-07-01T00:32:00-05:00,30442,1.25,,,,,,,,,,,,0.75,,,,,,0.00,-9.00,-14.25,4.75,-5.25
33,2026-07-01T00:33:00-05:00,30442.5,,,,,,,,,,,,,0.25,,,,,,0.00,-10.50,-12.75,-0.75,-7.75
34,2026-07-01T00:34:00-05:00,30434,,,,,,,,,,,,,4.75,,,,,,0.00,-6.25,1.25,2.50,-8.00
35,2026-07-01T00:35:00-05:00,30433,,,,,,,,,,,,,3.75,,,,,,0.00,-3.25,14.50,0.50,-2.25
36,2026-07-01T00:36:00-05:00,30432,,,,,,,,,,,,,2.75,,,,,,0.00,3.25,17.25,9.50,4.50
37,2026-07-01T00:37:00-05:00,30427.75,,,,,,,,,,,,,0.25,,,,,,0.00,19.75,19.00,9.00,5.50
38,2026-07-01T00:38:00-05:00,30429.75,,,,,,,,,,,,,0.50,,,,,,0.00,19.50,12.00,5.00,2.25
39,2026-07-01T00:39:00-05:00,30435.25,,,,,,,,,,,,,4.75,,,,,,0.00,11.50,1.25,-9.25,-3.75
